,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
9457,26,admin.,married,secondary,no,1417,yes,no,unknown,6,6,60,3,-1,0,unknown,no
9458,39,blue-collar,married,secondary,no,123,yes,no,unknown,6,6,165,3,-1,0,unknown,no
9460,49,management,single,tertiary,no,53,no,no,unknown,6,6,133,3,-1,0,unknown,no
9461,48,management,married,secondary,no,11146,no,no,unknown,6,6,136,1,-1,0,unknown,no
9462,42,management,married,tertiary,no,202,no,no,unknown,6,6,136,1,-1,0,unknown,no
9463,46,self-employed,single,secondary,no,2899,no,no,unknown,6,6,40,1,-1,0,unknown,no
9464,48,entrepreneur,married,tertiary,no,810,no,no,unknown,6,6,383,1,-1,0,unknown,no
9465,36,technician,married,secondary,no,22,no,no,unknown,6,6,464,1,-1,0,unknown,no
9466,59,self-employed,married,tertiary,no,10360,no,no,unknown,6,6,37,1,-1,0,unknown,no
9467,48,services,married,secondary,no,328,no,no,unknown,6,6,189,1,-1,0,unknown,no
9469,56,unemployed,divorced,secondary,no,763,no,no,unknown,6,6,181,2,-1,0,unknown,no
9472,53,entrepreneur,married,unknown,no,19850,no,no,unknown,6,6,86,1,-1,0,unknown,no
9473,50,technician,married,secondary,no,8001,no,no,unknown,6,6,52,1,-1,0,unknown,no
9474,51,self-employed,married,primary,no,8313,no,no,unknown,6,6,185,1,-1,0,unknown,no
9475,37,technician,single,tertiary,no,1309,no,no,unknown,6,6,442,2,-1,0,unknown,no
9476,41,blue-collar,married,primary,no,1461,yes,no,unknown,6,6,554,2,-1,0,unknown,yes
9477,59,retired,married,primary,yes,-488,no,yes,unknown,6,6,247,1,-1,0,unknown,no
9478,55,services,divorced,primary,no,653,no,no,unknown,6,6,800,1,-1,0,unknown,no
9479,35,blue-collar,single,unknown,no,871,yes,no,unknown,6,6,216,3,-1,0,unknown,no
9480,56,housemaid,divorced,tertiary,no,1059,no,yes,unknown,6,6,57,2,-1,0,unknown,no
9481,36,services,divorced,secondary,no,1594,no,no,unknown,6,6,250,3,-1,0,unknown,no
9482,43,self-employed,married,tertiary,no,64,no,no,unknown,6,6,230,2,-1,0,unknown,no
9483,48,management,married,tertiary,no,0,yes,no,unknown,6,6,300,5,-1,0,unknown,no
9484,34,housemaid,married,tertiary,no,1265,yes,no,unknown,6,6,397,3,-1,0,unknown,no
9485,44,self-employed,single,tertiary,no,97,yes,no,unknown,6,6,153,4,-1,0,unknown,no
9486,39,services,married,secondary,no,207,no,no,unknown,6,6,78,2,-1,0,unknown,no
9487,43,admin.,married,primary,no,482,yes,no,unknown,6,6,1041,13,-1,0,unknown,no
9489,36,blue-collar,married,secondary,no,70,yes,no,unknown,6,6,100,2,-1,0,unknown,no
9490,36,services,single,primary,no,38,no,no,unknown,6,6,308,4,-1,0,unknown,no
9491,41,management,single,tertiary,no,195,no,no,unknown,6,6,341,2,-1,0,unknown,no
9492,37,services,divorced,secondary,no,319,yes,no,unknown,6,6,467,3,-1,0,unknown,yes
9493,32,services,divorced,secondary,no,5267,yes,no,unknown,6,6,178,2,-1,0,unknown,no
9494,56,retired,divorced,tertiary,no,2774,no,no,unknown,6,6,1288,3,-1,0,unknown,no
9495,44,blue-collar,single,secondary,no,259,yes,no,unknown,6,6,163,2,-1,0,unknown,no
9496,25,admin.,single,secondary,no,0,yes,no,unknown,6,6,172,2,-1,0,unknown,no
9497,30,management,single,tertiary,no,1636,no,no,unknown,6,6,301,2,-1,0,unknown,no
9498,32,services,married,secondary,no,4789,yes,yes,unknown,6,6,407,4,-1,0,unknown,no
9499,53,technician,married,secondary,no,480,no,no,unknown,6,6,648,2,-1,0,unknown,yes
9500,29,technician,married,tertiary,no,-246,yes,no,unknown,6,6,311,3,-1,0,unknown,no
9501,49,housemaid,divorced,secondary,no,630,no,no,unknown,6,6,415,2,-1,0,unknown,no
9502,37,entrepreneur,married,tertiary,no,342,yes,no,unknown,6,6,212,1,-1,0,unknown,no
9504,37,blue-collar,divorced,secondary,no,33,yes,no,unknown,6,6,326,1,-1,0,unknown,no
9506,46,technician,married,secondary,no,0,no,no,unknown,6,6,186,2,-1,0,unknown,no
9508,40,services,single,secondary,no,2936,no,no,unknown,6,6,473,2,-1,0,unknown,no
9509,36,housemaid,single,tertiary,no,561,no,no,unknown,6,6,274,2,-1,0,unknown,no
9510,39,housemaid,single,secondary,no,2022,no,no,unknown,6,6,105,1,-1,0,unknown,no
9511,55,housemaid,married,primary,no,1870,no,no,unknown,6,6,152,1,-1,0,unknown,no
9512,49,housemaid,divorced,unknown,no,2754,no,no,unknown,6,6,18,2,-1,0,unknown,no
9513,54,management,married,unknown,no,1960,no,no,unknown,6,6,13,5,-1,0,unknown,no
9514,45,self-employed,married,tertiary,no,510,no,no,unknown,6,6,639,2,-1,0,unknown,no
9515,29,blue-collar,single,primary,no,213,yes,no,unknown,6,6,2653,3,-1,0,unknown,yes
9516,58,blue-collar,married,secondary,no,4053,no,no,unknown,6,6,160,2,-1,0,unknown,no
9517,35,management,married,tertiary,no,482,no,no,unknown,6,6,129,2,-1,0,unknown,no
9518,50,blue-collar,married,secondary,no,464,no,yes,unknown,6,6,426,2,-1,0,unknown,no
9519,47,admin.,married,secondary,no,1383,yes,no,unknown,6,6,460,8,-1,0,unknown,no
9520,38,blue-collar,married,secondary,no,3598,no,no,unknown,6,6,154,1,-1,0,unknown,no
9521,39,technician,single,secondary,no,201,no,yes,unknown,6,6,148,4,-1,0,unknown,no
9523,40,blue-collar,married,primary,no,343,no,no,unknown,6,6,292,2,-1,0,unknown,no
9524,37,blue-collar,married,secondary,no,1,no,no,unknown,6,6,44,2,-1,0,unknown,no
9525,52,retired,married,secondary,no,1956,no,no,unknown,6,6,384,2,-1,0,unknown,no
9526,40,management,married,primary,no,733,yes,no,unknown,6,6,94,7,-1,0,unknown,no
9527,28,blue-collar,single,secondary,no,3430,yes,no,unknown,6,6,72,6,-1,0,unknown,no
9528,56,unemployed,divorced,tertiary,no,832,no,no,unknown,6,6,36,2,-1,0,unknown,no
9529,46,retired,single,primary,no,1190,no,no,unknown,6,6,316,2,-1,0,unknown,no
9530,51,technician,married,secondary,no,176,no,no,unknown,6,6,217,4,-1,0,unknown,no
9531,39,self-employed,married,secondary,yes,-571,no,no,unknown,6,6,180,2,-1,0,unknown,no
9532,45,services,married,secondary,no,191,no,yes,unknown,6,6,136,2,-1,0,unknown,no
9535,58,housemaid,married,primary,no,935,yes,no,unknown,6,6,272,2,-1,0,unknown,no
9536,58,entrepreneur,married,primary,no,52499,no,no,unknown,6,6,198,2,-1,0,unknown,no
9537,43,blue-collar,divorced,primary,no,1260,no,yes,unknown,6,6,17,4,-1,0,unknown,no
9538,60,housemaid,married,unknown,no,10285,no,no,unknown,6,6,174,2,-1,0,unknown,no
9539,57,entrepreneur,married,tertiary,no,958,no,no,unknown,6,6,250,2,-1,0,unknown,no
9542,28,blue-collar,single,tertiary,no,727,yes,no,unknown,6,6,144,4,-1,0,unknown,no
9543,44,technician,divorced,tertiary,no,9192,yes,no,unknown,6,6,59,3,-1,0,unknown,no
9544,46,admin.,married,primary,no,595,yes,no,unknown,6,6,334,3,-1,0,unknown,no
9545,31,management,single,tertiary,no,2296,yes,no,unknown,6,6,49,8,-1,0,unknown,no
9546,45,self-employed,married,secondary,no,-30,yes,yes,unknown,6,6,165,2,-1,0,unknown,no
9547,50,technician,married,secondary,no,3503,yes,no,unknown,6,6,103,2,-1,0,unknown,no
9548,38,housemaid,married,primary,no,3577,no,no,unknown,6,6,190,2,-1,0,unknown,no
9549,49,blue-collar,married,primary,no,0,yes,no,unknown,6,6,286,2,-1,0,unknown,no
9550,30,blue-collar,married,secondary,no,3653,yes,yes,unknown,6,6,167,4,-1,0,unknown,no
9551,30,student,single,unknown,no,1232,yes,no,unknown,6,6,52,4,-1,0,unknown,no
9553,41,management,married,tertiary,no,850,no,no,unknown,6,6,262,2,-1,0,unknown,no
9554,52,retired,married,unknown,no,3303,no,no,unknown,6,6,33,1,-1,0,unknown,no
9556,38,services,divorced,secondary,no,792,no,no,unknown,6,6,430,1,-1,0,unknown,no
9557,52,services,married,secondary,no,1386,no,no,unknown,6,6,100,1,-1,0,unknown,no
9558,37,self-employed,single,tertiary,no,1549,no,no,unknown,6,6,48,2,-1,0,unknown,no
9559,49,blue-collar,married,primary,no,4830,yes,no,unknown,6,6,350,1,-1,0,unknown,no
9560,48,management,married,primary,no,2803,yes,no,unknown,6,6,30,24,-1,0,unknown,no
9561,35,blue-collar,married,secondary,no,594,yes,no,unknown,6,6,213,2,-1,0,unknown,no
9562,59,retired,divorced,primary,no,40,no,no,unknown,6,6,108,1,-1,0,unknown,no
9563,54,housemaid,married,secondary,no,378,no,no,unknown,6,6,371,2,-1,0,unknown,no
9564,53,management,married,unknown,no,12001,no,no,unknown,6,6,207,1,-1,0,unknown,no
9565,54,housemaid,single,unknown,no,6020,no,no,unknown,6,6,24,1,-1,0,unknown,no
9566,30,blue-collar,single,secondary,no,23,yes,no,unknown,6,6,36,24,-1,0,unknown,no
9567,53,technician,married,primary,no,44,no,no,unknown,6,6,256,1,-1,0,unknown,no
9568,57,entrepreneur,married,tertiary,no,1114,no,no,unknown,6,6,139,2,-1,0,unknown,no
9569,51,housemaid,married,primary,no,1275,no,no,unknown,6,6,92,1,-1,0,unknown,no
9570,49,entrepreneur,divorced,secondary,no,2908,no,no,unknown,6,6,322,1,-1,0,unknown,no
9571,49,technician,single,secondary,no,-97,yes,no,unknown,6,6,92,2,-1,0,unknown,no
9572,53,retired,married,secondary,no,1300,no,no,unknown,6,6,420,1,-1,0,unknown,no
9573,45,technician,married,tertiary,no,43,yes,no,unknown,6,6,184,4,-1,0,unknown,no
9574,37,blue-collar,married,secondary,no,5334,no,no,unknown,6,6,58,1,-1,0,unknown,no
9575,37,self-employed,divorced,tertiary,no,160,yes,yes,unknown,6,6,545,2,-1,0,unknown,no
9576,35,blue-collar,single,secondary,no,11671,no,no,unknown,6,6,190,1,-1,0,unknown,no
9577,41,management,married,tertiary,no,251,no,yes,unknown,6,6,85,3,-1,0,unknown,no
9578,35,management,single,tertiary,no,68,no,no,unknown,6,6,1085,1,-1,0,unknown,yes
9579,54,blue-collar,divorced,secondary,no,218,no,no,unknown,6,6,514,2,-1,0,unknown,no
9580,40,student,single,secondary,no,5349,no,no,unknown,6,6,471,1,-1,0,unknown,no
9581,47,admin.,divorced,secondary,no,295,yes,no,unknown,6,6,94,2,-1,0,unknown,yes
9582,40,admin.,married,secondary,no,2199,no,no,unknown,6,6,38,3,-1,0,unknown,no
9583,57,retired,married,secondary,no,3783,yes,no,unknown,6,6,198,3,-1,0,unknown,no
9584,37,blue-collar,married,secondary,no,287,yes,no,unknown,6,6,191,2,-1,0,unknown,no
9585,57,housemaid,married,primary,no,7082,no,no,unknown,6,6,69,3,-1,0,unknown,no
9586,29,blue-collar,married,secondary,no,87,yes,no,unknown,6,6,1330,3,-1,0,unknown,no
9587,35,blue-collar,divorced,primary,no,-5,no,no,unknown,6,6,48,5,-1,0,unknown,no
9588,39,technician,married,secondary,no,3050,yes,no,unknown,6,6,236,7,-1,0,unknown,no
9589,55,entrepreneur,divorced,tertiary,no,0,no,no,unknown,6,6,108,2,-1,0,unknown,no
9590,49,admin.,married,secondary,no,1632,no,no,unknown,6,6,47,1,-1,0,unknown,no
9591,23,technician,single,secondary,yes,150,yes,yes,unknown,6,6,66,5,-1,0,unknown,no
9594,53,management,married,tertiary,no,7067,no,no,unknown,6,6,82,3,-1,0,unknown,no
9596,36,management,married,tertiary,no,254,no,no,unknown,6,6,161,3,-1,0,unknown,no
9597,46,unknown,married,unknown,no,2367,no,no,unknown,6,6,86,3,-1,0,unknown,no
9598,36,self-employed,married,tertiary,no,16430,yes,no,unknown,6,6,197,3,-1,0,unknown,no
9599,32,entrepreneur,married,secondary,no,1328,yes,no,unknown,6,6,80,5,-1,0,unknown,no
9600,40,housemaid,divorced,primary,no,1,no,no,unknown,6,6,113,3,-1,0,unknown,no
9601,52,technician,married,secondary,no,-38,no,no,unknown,6,6,613,1,-1,0,unknown,no
9602,48,services,divorced,primary,no,927,no,no,unknown,6,6,201,6,-1,0,unknown,no
9603,53,housemaid,married,primary,no,5098,yes,no,unknown,6,6,155,3,-1,0,unknown,no
9604,36,services,married,secondary,no,8114,yes,no,unknown,6,6,505,1,-1,0,unknown,no
9605,47,unknown,married,unknown,no,0,no,no,unknown,6,6,466,2,-1,0,unknown,no
9606,37,blue-collar,married,secondary,no,-288,yes,yes,unknown,6,6,298,2,-1,0,unknown,no
9607,45,admin.,divorced,secondary,no,246,no,no,unknown,6,6,119,1,-1,0,unknown,no
9608,47,management,divorced,tertiary,no,313,yes,no,unknown,6,6,114,7,-1,0,unknown,no
9611,50,blue-collar,married,secondary,no,289,no,no,unknown,6,6,73,1,-1,0,unknown,no
9612,40,retired,married,secondary,no,263,no,no,unknown,6,6,761,3,-1,0,unknown,no
9613,58,management,single,unknown,no,1873,no,no,unknown,6,6,49,2,-1,0,unknown,no
9614,57,technician,divorced,secondary,no,204,no,no,unknown,6,6,97,5,-1,0,unknown,no
9615,38,blue-collar,single,secondary,no,-56,yes,yes,unknown,6,6,247,2,-1,0,unknown,no
9616,48,admin.,divorced,secondary,no,2662,no,no,unknown,6,6,298,2,-1,0,unknown,no
9617,37,self-employed,divorced,secondary,no,231,no,no,unknown,6,6,250,1,-1,0,unknown,no
9619,37,self-employed,married,tertiary,no,0,no,no,unknown,6,6,143,1,-1,0,unknown,no
9620,36,blue-collar,married,primary,no,0,no,no,unknown,6,6,149,1,-1,0,unknown,no
9621,60,management,married,secondary,no,130,no,no,unknown,6,6,151,1,-1,0,unknown,no
9622,39,services,single,secondary,no,158,yes,no,unknown,6,6,354,2,-1,0,unknown,no
9623,25,technician,single,secondary,no,2704,yes,no,unknown,6,6,63,3,-1,0,unknown,no
9624,53,retired,divorced,secondary,yes,-200,no,yes,unknown,6,6,161,1,-1,0,unknown,no
9625,45,blue-collar,married,secondary,no,22928,no,no,unknown,6,6,113,1,-1,0,unknown,no
9627,37,blue-collar,married,primary,no,7,no,no,unknown,6,6,176,1,-1,0,unknown,no
9628,60,retired,married,secondary,no,2586,no,no,unknown,6,6,150,4,-1,0,unknown,no
9629,52,housemaid,single,tertiary,no,0,no,no,unknown,6,6,431,2,-1,0,unknown,no
9630,48,blue-collar,single,primary,no,10442,no,no,unknown,6,6,63,2,-1,0,unknown,no
9632,36,admin.,married,secondary,no,231,yes,yes,unknown,6,6,136,6,-1,0,unknown,no
9634,58,retired,married,secondary,no,610,yes,no,unknown,6,6,651,1,-1,0,unknown,no
9635,46,housemaid,married,primary,no,1676,no,no,unknown,6,6,56,2,-1,0,unknown,no
9636,45,admin.,divorced,primary,no,1807,yes,no,unknown,6,6,118,2,-1,0,unknown,no
9638,49,services,married,secondary,no,-33,yes,no,unknown,6,6,774,13,-1,0,unknown,no
9639,60,retired,married,secondary,no,1420,yes,yes,unknown,6,6,39,4,-1,0,unknown,no
9640,57,unknown,married,secondary,no,2,no,no,unknown,6,6,112,4,-1,0,unknown,no
9641,45,technician,married,secondary,no,4639,no,no,unknown,6,6,82,2,-1,0,unknown,no
9642,44,blue-collar,married,unknown,no,391,no,no,unknown,6,6,355,4,-1,0,unknown,no
9643,28,admin.,single,secondary,no,596,yes,no,unknown,6,6,151,6,-1,0,unknown,no
9644,49,management,single,tertiary,no,1,yes,no,unknown,6,6,59,3,-1,0,unknown,no
9645,50,unknown,married,primary,no,1502,no,no,unknown,6,6,34,2,-1,0,unknown,no
9646,33,management,married,tertiary,no,806,yes,no,unknown,6,6,124,3,-1,0,unknown,no
9647,28,blue-collar,married,secondary,no,2788,yes,no,unknown,6,6,369,2,-1,0,unknown,yes
9648,27,technician,single,tertiary,no,1526,yes,no,unknown,6,6,342,10,-1,0,unknown,no
9649,56,unemployed,married,secondary,no,660,yes,no,unknown,6,6,72,3,-1,0,unknown,no
9650,37,services,married,secondary,no,1372,yes,no,unknown,6,6,129,2,-1,0,unknown,no
9651,35,blue-collar,single,primary,no,3339,yes,no,unknown,6,6,304,2,-1,0,unknown,no
9652,49,admin.,single,secondary,no,4509,no,no,unknown,6,6,42,2,-1,0,unknown,no
9653,38,blue-collar,married,secondary,no,1434,no,no,unknown,6,6,396,4,-1,0,unknown,no
9654,39,technician,married,secondary,no,328,no,no,unknown,6,6,188,7,-1,0,unknown,no
9656,46,entrepreneur,single,tertiary,no,77,yes,yes,unknown,6,6,520,3,-1,0,unknown,no
9657,60,blue-collar,divorced,primary,no,92,yes,no,unknown,6,6,70,3,-1,0,unknown,no
9658,39,blue-collar,married,secondary,no,497,no,no,unknown,6,6,95,4,-1,0,unknown,no
9659,44,services,married,secondary,no,-63,no,no,unknown,6,6,392,2,-1,0,unknown,no
9660,32,blue-collar,single,primary,no,5418,yes,no,unknown,6,6,25,6,-1,0,unknown,no
9661,36,blue-collar,married,primary,no,0,yes,no,unknown,6,6,246,4,-1,0,unknown,no
9662,37,blue-collar,married,secondary,no,2870,yes,no,unknown,6,6,94,2,-1,0,unknown,no
9663,39,self-employed,married,tertiary,no,3201,no,no,unknown,6,6,197,2,-1,0,unknown,no
9665,27,technician,single,tertiary,no,535,yes,no,unknown,6,6,446,3,-1,0,unknown,no
9666,47,housemaid,married,primary,no,389,no,no,unknown,6,6,145,2,-1,0,unknown,no
9667,59,unknown,single,secondary,no,3237,no,no,unknown,6,6,100,3,-1,0,unknown,no
9669,58,blue-collar,married,primary,no,9200,no,no,unknown,6,6,233,2,-1,0,unknown,no
9670,39,technician,single,secondary,no,1963,yes,no,unknown,6,6,100,4,-1,0,unknown,no
9672,41,self-employed,married,primary,no,340,no,no,unknown,6,6,37,3,-1,0,unknown,no
9673,58,unknown,single,secondary,no,311,no,no,unknown,6,6,248,2,-1,0,unknown,no
9675,52,housemaid,married,primary,no,0,no,no,unknown,6,6,235,3,-1,0,unknown,no
9676,60,management,married,primary,no,295,no,no,unknown,6,6,126,4,-1,0,unknown,no
9677,31,services,married,secondary,no,500,yes,no,unknown,6,6,19,18,-1,0,unknown,no
9679,39,admin.,divorced,secondary,no,2610,no,no,unknown,6,6,67,5,-1,0,unknown,no
9680,53,retired,married,primary,no,17,no,yes,unknown,6,6,104,2,-1,0,unknown,no
9681,35,blue-collar,single,secondary,no,1017,no,no,unknown,6,6,53,2,-1,0,unknown,no
9682,36,technician,married,secondary,no,5521,no,no,unknown,6,6,61,1,-1,0,unknown,no
9683,40,admin.,married,secondary,no,3234,no,no,unknown,6,6,82,1,-1,0,unknown,no
9684,42,management,divorced,tertiary,no,0,no,no,unknown,6,6,61,1,-1,0,unknown,no
9685,51,retired,divorced,tertiary,no,126,no,yes,unknown,6,6,152,1,-1,0,unknown,no
9687,42,blue-collar,married,primary,no,480,yes,no,unknown,6,6,288,12,-1,0,unknown,no
9688,59,blue-collar,married,secondary,no,0,no,no,unknown,6,6,135,1,-1,0,unknown,no
9689,44,self-employed,married,tertiary,no,425,no,no,unknown,6,6,147,1,-1,0,unknown,no
9690,35,services,married,secondary,no,193,no,yes,unknown,6,6,50,1,-1,0,unknown,no
9691,55,blue-collar,married,unknown,no,7561,no,no,unknown,6,6,685,3,-1,0,unknown,yes
9692,35,admin.,single,tertiary,no,-162,yes,yes,unknown,6,6,119,1,-1,0,unknown,no
9693,40,admin.,married,secondary,no,947,no,no,unknown,6,6,160,1,-1,0,unknown,no
9694,48,entrepreneur,married,secondary,no,4037,no,no,unknown,6,6,23,1,-1,0,unknown,no
9695,42,blue-collar,married,secondary,no,375,yes,no,unknown,6,6,99,5,-1,0,unknown,no
9697,37,housemaid,single,secondary,no,-178,yes,no,unknown,6,6,122,5,-1,0,unknown,no
9698,28,blue-collar,married,secondary,no,822,yes,no,unknown,6,6,209,18,-1,0,unknown,no
9699,46,services,married,secondary,no,2215,no,no,unknown,6,6,222,2,-1,0,unknown,no
9700,41,services,single,secondary,no,260,no,no,unknown,6,6,75,1,-1,0,unknown,no
9701,35,technician,married,tertiary,no,7951,no,yes,unknown,6,6,103,1,-1,0,unknown,no
9702,39,blue-collar,single,secondary,no,1170,no,no,unknown,6,6,383,1,-1,0,unknown,no
9703,34,blue-collar,married,secondary,no,291,yes,no,unknown,6,6,111,5,-1,0,unknown,no
9704,39,technician,single,unknown,no,75,no,no,unknown,6,6,26,1,-1,0,unknown,no
9705,48,management,married,tertiary,no,-1232,yes,no,unknown,6,6,183,1,-1,0,unknown,no
9706,37,self-employed,married,secondary,no,215,yes,no,unknown,6,6,61,1,-1,0,unknown,no
9707,52,unknown,married,primary,no,547,no,no,unknown,6,6,33,2,-1,0,unknown,no
9708,37,blue-collar,married,secondary,no,3574,yes,no,unknown,6,6,117,1,-1,0,unknown,no
9709,38,technician,single,secondary,no,0,yes,no,unknown,6,6,64,1,-1,0,unknown,no
9710,36,student,married,primary,no,3503,no,no,unknown,6,6,31,1,-1,0,unknown,no
9711,39,management,married,tertiary,no,575,no,no,unknown,6,6,109,1,-1,0,unknown,no
9712,35,blue-collar,single,primary,no,3798,no,no,unknown,6,6,19,1,-1,0,unknown,no
9713,41,technician,married,secondary,no,1297,no,no,unknown,6,6,82,1,-1,0,unknown,no
9714,50,management,married,tertiary,no,0,yes,no,unknown,6,6,243,7,-1,0,unknown,no
9715,36,services,divorced,secondary,no,115,no,no,unknown,6,6,201,1,-1,0,unknown,no
9716,54,admin.,divorced,primary,no,0,no,no,unknown,6,6,127,1,-1,0,unknown,no
9717,38,admin.,married,secondary,no,4874,no,no,unknown,6,6,1291,3,-1,0,unknown,no
9718,38,technician,married,secondary,no,4741,yes,no,unknown,9,6,221,10,-1,0,unknown,no
9719,53,retired,divorced,primary,no,2997,no,no,unknown,9,6,162,1,-1,0,unknown,no
9720,38,admin.,married,secondary,no,9618,yes,no,unknown,9,6,214,1,-1,0,unknown,no
9721,47,unemployed,married,secondary,no,2024,no,no,unknown,9,6,169,1,-1,0,unknown,no
9722,56,technician,married,secondary,no,992,no,no,unknown,9,6,123,1,-1,0,unknown,no
9723,40,blue-collar,married,primary,no,676,no,no,unknown,9,6,74,1,-1,0,unknown,no
9724,57,technician,married,secondary,no,93,no,no,unknown,9,6,82,2,-1,0,unknown,no
9725,45,unemployed,married,secondary,no,1603,no,no,unknown,9,6,164,2,-1,0,unknown,no
9726,51,retired,married,primary,no,610,no,no,unknown,9,6,86,2,-1,0,unknown,no
9727,45,services,married,primary,no,60,no,no,unknown,9,6,349,2,-1,0,unknown,no
9728,42,technician,married,secondary,no,6250,no,no,unknown,9,6,107,3,-1,0,unknown,no
9729,42,management,married,primary,no,4362,no,no,unknown,9,6,238,1,-1,0,unknown,no
9730,59,housemaid,married,secondary,no,345,no,no,unknown,9,6,38,1,-1,0,unknown,no
9731,43,services,married,secondary,no,861,yes,no,unknown,9,6,78,1,-1,0,unknown,no
9732,57,services,married,secondary,no,1166,no,no,unknown,9,6,106,1,-1,0,unknown,no
9734,36,blue-collar,married,unknown,no,3783,no,no,unknown,9,6,113,1,-1,0,unknown,no
9735,46,blue-collar,married,primary,no,1666,yes,no,unknown,9,6,94,13,-1,0,unknown,no
9737,44,entrepreneur,married,tertiary,no,31,no,no,unknown,9,6,467,1,-1,0,unknown,no
9738,45,technician,married,tertiary,no,1780,no,no,unknown,9,6,464,1,-1,0,unknown,no
9739,44,blue-collar,married,primary,no,2135,no,no,unknown,9,6,61,1,-1,0,unknown,no
9740,37,blue-collar,married,primary,no,351,no,no,unknown,9,6,108,1,-1,0,unknown,no
9742,58,housemaid,married,tertiary,no,1280,no,yes,unknown,9,6,112,1,-1,0,unknown,no
9743,48,management,married,primary,no,1744,no,no,unknown,9,6,181,1,-1,0,unknown,no
9744,42,management,married,primary,no,0,no,no,unknown,9,6,108,1,-1,0,unknown,no
9745,58,housemaid,married,primary,no,2348,no,no,unknown,9,6,226,1,-1,0,unknown,no
9746,37,unemployed,single,primary,no,1241,no,no,unknown,9,6,60,2,-1,0,unknown,no
9747,35,technician,married,tertiary,no,2518,no,no,unknown,9,6,400,1,-1,0,unknown,no
9749,35,management,married,tertiary,no,2308,no,yes,unknown,9,6,540,1,-1,0,unknown,no
9750,58,housemaid,married,primary,no,258,no,no,unknown,9,6,174,1,-1,0,unknown,no
9751,41,admin.,married,secondary,no,176,no,no,unknown,9,6,196,1,-1,0,unknown,no
9752,47,management,married,unknown,no,150,no,no,unknown,9,6,52,1,-1,0,unknown,no
9753,35,self-employed,married,secondary,no,-3,no,no,unknown,9,6,438,5,-1,0,unknown,no
9754,46,housemaid,married,primary,no,39,no,no,unknown,9,6,74,2,-1,0,unknown,no
9755,58,management,divorced,tertiary,no,5,yes,no,unknown,9,6,412,1,-1,0,unknown,no
9756,34,housemaid,married,tertiary,no,5011,yes,no,unknown,9,6,311,2,-1,0,unknown,no
9758,49,management,divorced,primary,no,49,no,no,unknown,9,6,232,1,-1,0,unknown,no
9759,37,blue-collar,single,primary,no,7027,no,no,unknown,9,6,65,1,-1,0,unknown,no
9760,51,self-employed,married,tertiary,no,150,no,no,unknown,9,6,146,1,-1,0,unknown,no
9761,59,retired,married,unknown,no,1491,no,no,unknown,9,6,157,2,-1,0,unknown,no
9762,51,services,married,secondary,no,-467,no,no,unknown,9,6,216,5,-1,0,unknown,no
9763,46,housemaid,divorced,secondary,no,154,no,no,unknown,9,6,79,1,-1,0,unknown,no
9764,25,services,married,secondary,no,77,yes,no,unknown,9,6,220,4,-1,0,unknown,no
9765,38,services,married,secondary,no,1005,yes,yes,unknown,9,6,152,2,-1,0,unknown,no
9767,37,admin.,married,secondary,yes,0,no,no,unknown,9,6,89,1,-1,0,unknown,no
9768,45,blue-collar,single,primary,no,4289,yes,no,unknown,9,6,400,1,-1,0,unknown,no
9769,40,blue-collar,single,primary,no,397,no,no,unknown,9,6,163,1,-1,0,unknown,no
9770,39,management,married,tertiary,no,2810,no,no,unknown,9,6,77,1,-1,0,unknown,no
9771,40,services,married,secondary,no,37,no,no,unknown,9,6,356,5,-1,0,unknown,no
9772,54,housemaid,divorced,primary,no,215,no,yes,unknown,9,6,117,2,-1,0,unknown,no
9773,35,admin.,married,secondary,no,5768,yes,yes,unknown,9,6,145,1,-1,0,unknown,no
9774,49,management,divorced,secondary,no,-46,yes,no,unknown,9,6,1055,10,-1,0,unknown,yes
9775,41,management,married,secondary,no,5585,no,no,unknown,9,6,772,1,-1,0,unknown,no
9776,56,technician,single,tertiary,no,917,no,no,unknown,9,6,306,1,-1,0,unknown,no
9777,39,management,married,primary,no,1873,no,no,unknown,9,6,161,2,-1,0,unknown,no
9779,37,blue-collar,married,primary,no,178,yes,yes,unknown,9,6,72,1,-1,0,unknown,no
9781,36,technician,married,secondary,no,300,no,no,unknown,9,6,287,1,-1,0,unknown,no
9782,56,admin.,married,secondary,no,2146,no,yes,unknown,9,6,594,1,-1,0,unknown,no
9783,58,entrepreneur,married,tertiary,no,2920,yes,no,unknown,9,6,136,1,-1,0,unknown,no
9784,38,technician,married,secondary,no,994,no,no,unknown,9,6,119,1,-1,0,unknown,no
9786,44,management,married,tertiary,no,2876,no,no,unknown,9,6,125,1,-1,0,unknown,no
9787,53,retired,single,primary,no,0,no,no,unknown,9,6,114,1,-1,0,unknown,no
9788,54,management,married,tertiary,yes,153,no,no,unknown,9,6,99,3,-1,0,unknown,no
9790,30,management,single,tertiary,no,156,yes,no,unknown,9,6,174,9,-1,0,unknown,no
9791,47,blue-collar,married,primary,no,214,yes,yes,unknown,9,6,168,1,-1,0,unknown,no
9792,39,housemaid,married,secondary,no,633,no,no,unknown,9,6,233,1,-1,0,unknown,no
9793,35,housemaid,married,secondary,no,14000,no,no,unknown,9,6,121,2,-1,0,unknown,no
